building_or_title,address,price,bedrooms,bathrooms,sqft,source_url,method,address_used_for_geocoding,latitude,longitude,zip_code,distance_from_uiuc_miles
ability 1727 Henry St $450 /bed $900 /mth 2 bed 1 bath View Availability COZY 2 BEDROOM UNITS! 1727 Park Haven Drive $0 /bed $0 /mth 1 bed 1,,567,2.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1727 Henry St, Champaign, IL",40.107162,-88.275614,61821.0,2.59
"ity COZY 2 BEDROOM UNITS! 1727 Park Haven Drive $0 /bed $0 /mth 1 bed 1 bath View Availability 1728 Park Haven $567 /bed $1,700 /mth 3 bed 2",,533,2.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1727 Park Haven Drive, Champaign, IL",40.0943481,-88.2515767,61820.0,1.4
" bath View Availability 1807 Meadow Dr. $483 /bed $1,450 /mth 3 bed 1 bath View Availability 1808 Park Haven Dr. $0 /bed $1,375 /mth 3 bed 1",,583,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1807 Meadow Dr, Champaign, IL",40.099558,-88.2774229,61821.0,2.67
" bath View Availability 1808 Park Haven Dr. $0 /bed $1,375 /mth 3 bed 1 bath View Availability 1809 Sadler Dr. $583 /bed $1,750 /mth 3 bed 2",,725,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1808 Park Haven Dr, Champaign, IL",40.0935189,-88.2513639,61820.0,1.41
"ath View Availability 1811 Sadler Dr. $725 /bed $1,450 /mth 2 bed 2 bath View Availability 1819 Sadler Dr. $583 /bed $1,750 /mth 3 bed 2 bat",,625,2.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"1811 Sadler Dr, Champaign, IL",40.094428,-88.2916395,61821.0,3.45
"lity 1819 Sadler Dr. $583 /bed $1,750 /mth 3 bed 2 bath View Availability 1901 N. Lincoln Ave $625 /bed $1,250 /mth 2 bed 2 bath View Availa",,508,3.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"1819 Sadler Dr, Champaign, IL",40.093609,-88.2916435,61821.0,3.46
h 2 - 3 bed 2 - 2.5 bath View Availability GREAT URBANA LOCATION! 2003 Broadmoor Dr $0 /bed $533 /mth 3 bed 1.5 bath View Availability HARDW,,563,3.0,2.5,,https://www.greenstrealty.com/properties,regex_context,"2003 Broadmoor Dr, Champaign, IL",40.094124,-88.2802655,61821.0,2.86
 bed 2 - 2.5 bath View Availability GREAT URBANA LOCATION! 2003 Broadmoor Dr $0 /bed $533 /mth 3 bed 1.5 bath View Availability HARDWOOD FLO,,925,3.0,2.5,,https://www.greenstrealty.com/properties,regex_context,"2003 Broadmoor Dr, Champaign, IL",40.094124,-88.2802655,61821.0,2.86
.5 bath View Availability GREAT URBANA LOCATION! 2003 Broadmoor Dr $0 /bed $533 /mth 3 bed 1.5 bath View Availability HARDWOOD FLOORING THRO,,925,3.0,5.0,,https://www.greenstrealty.com/properties,regex_context,"2003 Broadmoor Dr, Champaign, IL",40.094124,-88.2802655,61821.0,2.86
"lity HARDWOOD FLOORING THROUGHOUT 201 S Busey Ave $563 - $925 /bed $925 - $1,125 /mth 1 - 2 bed 1 bath View Availability AWESOME LOFTED UNIT",,875,2.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"201 S Busey Ave, Champaign, IL",40.11132,-88.217847,61801.0,0.81
" - 2 bed 1 - 2 bath View Availability CAMPUS EDGE- AWESOME LOCATION WITH SPACIOUS UNITS 2017 Southwood Dr. $0 /bed $1,325 /mth 3 bed 1 bath ",,875,2.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"2017 Southwood Dr, Champaign, IL",40.0955105,-88.2827765,61821.0,2.98
" - 2 bath View Availability CAMPUS EDGE- AWESOME LOCATION WITH SPACIOUS UNITS 2017 Southwood Dr. $0 /bed $1,325 /mth 3 bed 1 bath View Avail",,875,3.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"2017 Southwood Dr, Champaign, IL",40.0955105,-88.2827765,61821.0,2.98
"2017 Southwood Dr. $0 /bed $1,325 /mth 3 bed 1 bath View Availability 202 E Springfield Ave $875 /bed $875 /mth 1 bed 1 bath View Availabili",,517,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"2017 Southwood Dr, Champaign, IL",40.0955105,-88.2827765,61821.0,2.98
" View Availability 208 E. White St $565 - $725 /bed $1,450 - $1,695 /mth 2 - 3 bed 1 bath View Availability PRIME LOCATION, INTERNET INCLUDE",,648,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"208 E. White St, Champaign, IL",40.1147003,-88.2361364,61820.0,1.0
"vailability 208 E. White St $565 - $725 /bed $1,450 - $1,695 /mth 2 - 3 bed 1 bath View Availability PRIME LOCATION, INTERNET INCLUDED Avail",,663,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"208 E. White St, Champaign, IL",40.1147003,-88.2361364,61820.0,1.0
"6 209 E. Clark St $648 - $663 /bed $1,295 - $1,325 /mth 2 bed 1 bath View Availability CLOSE TO DOWNTOWN AND CAMPUS! Available August 2026 2",,750,2.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"6 209 E. Clark St, Champaign, IL",40.1153818,-88.2378186,61820.0,1.08
"ND DOWNTOWN URBANA 210 E. White St $565 - $725 /bed $1,450 - $1,695 /mth 2 - 3 bed 1 bath View Availability GREAT LOCATION, INTERNET INCLUDE",,438,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"210 E. White St, Champaign, IL",40.1146921,-88.2359167,61820.0,0.99
"TOWN URBANA 210 E. White St $565 - $725 /bed $1,450 - $1,695 /mth 2 - 3 bed 1 bath View Availability GREAT LOCATION, INTERNET INCLUDED Avail",,548,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"210 E. White St, Champaign, IL",40.1146921,-88.2359167,61820.0,0.99
